;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
09/03/16;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GAL;AMBOS;30/12/1899 18:12:00;30/12/1899 18:51:00;Intransitável;IP
11/04/13;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 18:46:00;30/12/1899 19:06:00;INTRANSITÁVEL;VM
06/02/15;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 15:49:00;30/12/1899 16:03:00;Intransitável;VM
12/01/15;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 17:02:00;30/12/1899 17:42:00;Transitável;VM
19/02/16;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;AMBOS;30/12/1899 16:30:00;30/12/1899 17:52:00;Intransitável;IP
25/07/07;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;AMBOS;30/12/1899 06:01:00;30/12/1899 06:30:00;INTRANSITÁVEL;IP
05/12/15;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 19:40:00;30/12/1899 20:09:00;Intransitável;IP
25/01/12;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 17:16:00;30/12/1899 17:56:00;INTRANSITÁVEL;IP
14/01/13;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 20:53:00;30/12/1899 21:17:00;TRANSITÁVEL;IP
14/01/11;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;ÚNICO;30/12/1899 16:38:00;30/12/1899 17:34:00;TRANSITÁVEL;IP
13/01/11;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SANTOS/SP;30/12/1899 19:50:00;30/12/1899 20:13:00;TRANSITÁVEL;IP
13/01/11;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 19:48:00;30/12/1899 20:13:00;INTRANSITÁVEL;IP
21/01/11;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SANTOS/SP;30/12/1899 15:23:00;30/12/1899 15:39:00;TRANSITÁVEL;IP
16/02/11;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;AMBOS;30/12/1899 17:00:00;30/12/1899 19:44:00;INTRANSITÁVEL;IP
17/02/10;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 19:38:00;30/12/1899 20:04:00;TRANSITÁVEL;IP
26/01/10;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 17:09:00;30/12/1899 17:09:00;TRANSITÁVEL;IP
28/01/10;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 15:51:00;30/12/1899 16:14:00;TRANSITÁVEL;IP
15/11/09;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 09:49:00;30/12/1899 13:17:00;TRANSITÁVEL;IP
26/11/09;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 17:59:00;30/12/1899 19:12:00;INTRANSITÁVEL;IP
14/01/15;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;AMBOS;30/12/1899 18:57:00;30/12/1899 19:38:00;Intransitável;IP
16/01/14;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 14:52:00;30/12/1899 17:30:00;INTRANSITÁVEL;IP
03/04/08;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 16:18:00;30/12/1899 17:48:00;INTRANSITÁVEL;IP
12/11/08;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 18:34:00;30/12/1899 18:51:00;TRANSITÁVEL;IP
11/02/15;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 00:19:00;30/12/1899 00:30:00;Transitável;IP
22/12/08;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SANTOS/SP;30/12/1899 16:42:00;30/12/1899 17:44:00;INTRANSITÁVEL;IP
07/12/09;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 19:49:00;30/12/1899 20:11:00;TRANSITÁVEL;IP
21/02/08;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 19:25:00;30/12/1899 21:30:00;TRANSITÁVEL;IP
22/12/14;ABRAÃO DE MORAIS, AV. PROF.;CHAGAS SANTOS, R. GEN.;SP/SANTOS;30/12/1899 20:20:00;30/12/1899 20:37:00;Intransitável;IP
07/01/07;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 18:25:00;30/12/1899 21:20:00;INTRANSITÁVEL;IP
21/01/11;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SP/SANTOS;30/12/1899 15:22:00;30/12/1899 15:44:00;TRANSITÁVEL;IP
04/02/10;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 16:59:00;30/12/1899 18:29:00;INTRANSITÁVEL;IP
11/01/10;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SP/SANTOS;30/12/1899 19:54:00;30/12/1899 20:41:00;TRANSITÁVEL;IP
30/11/10;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SP/SANTOS;30/12/1899 15:57:00;30/12/1899 16:41:00;INTRANSITÁVEL;IP
22/12/14;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SANTOS/SP;30/12/1899 21:22:00;30/12/1899 22:11:00;Intransitável;IP
17/11/13;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SANTOS/SP;30/12/1899 03:08:00;30/12/1899 04:01:00;INTRANSITÁVEL;IP
21/02/08;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 19:12:00;30/12/1899 20:57:00;INTRANSITÁVEL;IP
03/01/08;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 19:15:00;30/12/1899 19:57:00;TRANSITÁVEL;IP
07/02/08;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 16:24:00;30/12/1899 16:41:00;TRANSITÁVEL;IP
03/04/08;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;SP/SANTOS;30/12/1899 16:16:00;30/12/1899 17:48:00;INTRANSITÁVEL;IP
07/02/09;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;;30/12/1899 20:07:00;30/12/1899 01:02:00;TRANSITÁVEL;IP
14/01/15;ABRAÃO DE MORAIS, AV. PROF.;ELISA SILVEIRA, R.;AMBOS;30/12/1899 18:52:00;30/12/1899 19:39:00;INTRANSITÁVEL;IP
